"id","created_at","name","has_test","alternate_url"
"66839458","2022-08-01T12:01:10+0300","-",false,"https://hh.ru/vacancy/66839458"
"68356852","2022-08-01T15:51:00+0300","-",false,"https://hh.ru/vacancy/68356852"
"67781834","2022-08-01T15:54:02+0300","-",false,"https://hh.ru/vacancy/67781834"
"54383588","2022-08-01T16:06:30+0300","Middle", senior)",false,"https://hh.ru/vacancy/54383588"
"67514056","2022-08-01T18:44:18+0300","-",false,"https://hh.ru/vacancy/67514056"
"68379910","2022-08-02T10:06:04+0300","-",false,"https://hh.ru/vacancy/68379910"
"68380428","2022-08-02T10:14:40+0300","-",false,"https://hh.ru/vacancy/68380428"
"67856754","2022-08-02T10:46:30+0300","-",false,"https://hh.ru/vacancy/67856754"
"68386431","2022-08-02T11:40:40+0300","-",false,"https://hh.ru/vacancy/68386431"
"67908295","2022-08-03T11:28:17+0300","-",true,"https://hh.ru/vacancy/67908295"
"67733444","2022-08-03T11:41:22+0300","-",true,"https://hh.ru/vacancy/67733444"
"68063879","2022-08-03T12:53:41+0300","-",false,"https://hh.ru/vacancy/68063879"
"68119068","2022-08-03T14:54:09+0300","-",false,"https://hh.ru/vacancy/68119068"
"67746831","2022-08-03T15:40:40+0300","-",false,"https://hh.ru/vacancy/67746831"
"68127599","2022-08-03T17:43:50+0300","-",true,"https://hh.ru/vacancy/68127599"
"68450872","2022-08-03T17:59:30+0300","Senior",false,"https://hh.ru/vacancy/68450872"
"66681320","2022-08-03T20:37:51+0300","-",false,"https://hh.ru/vacancy/66681320"
"68139041","2022-08-04T09:32:27+0300","-",false,"https://hh.ru/vacancy/68139041"
"68463968","2022-08-04T09:36:32+0300","-",false,"https://hh.ru/vacancy/68463968"
"68325604","2022-08-04T09:49:45+0300","-",false,"https://hh.ru/vacancy/68325604"
